"Bucket","File","Status","Copyrights","License","Notes"
"boards","src/boards/235.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/244.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/246.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/252.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/253.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/28.cpp","OK","Copyright (C) 2012-2017 FCEUX team","GPLv2+",""
"boards","src/boards/32.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/33.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/34.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/354.cpp","OK","* Copyright (C) 2022","GPLv2+",""
"boards","src/boards/36.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/3d-block.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/40.cpp","OK","* Copyright (C) 2012 CaH4e3; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"boards","src/boards/41.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/411120-c.cpp","OK","* Copyright (C) 2008 CaH4e3","GPLv2+",""
"boards","src/boards/42.cpp","OK","* Copyright (C) 2012 CaH4e3; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"boards","src/boards/43.cpp","OK","* Copyright (C) 2006 CaH4e3","GPLv2+",""
"boards","src/boards/46.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/50.cpp","OK","* Copyright (C) 2012 CaH4e3; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"boards","src/boards/51.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/57.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/603-5052.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
